Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec)
"void kernel_mqc_gpu_develop_encode<64u, 1u, double, 8u, (calculate_t)1>(cxd_block*, int, unsigned char*, unsigned char*)",1748333933,60913954,73,1,1,64,1,1,34,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1436605007,9120,3,2,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1436648007,9152,3,2,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1436691071,9120,3,2,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1436733135,9024,3,2,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1436776991,11168,6,4,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1436933022,11105,6,4,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1437004831,11232,6,4,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1437054503,30656,12,8,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1437118575,31552,12,8,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1437183559,29600,12,8,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1437249334,97825,24,16,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1437381710,96449,24,16,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1437513614,96513,24,16,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1437651911,9184,3,2,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1437694295,8928,3,2,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1437738039,9120,3,2,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1437781039,9152,3,2,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1437822215,11008,6,4,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1437866151,11040,6,4,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1437910119,11040,6,4,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1437960567,30528,12,8,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1438028079,30080,12,8,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1438091247,30880,12,8,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1438154750,97409,24,16,1,16,16,1,17,0,0,,
