Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec)
"void kernel_mqc_gpu_develop_encode<64u, 1u, double, 8u, (calculate_t)1>(cxd_block*, int, unsigned char*, unsigned char*)",1854988613,64610658,73,1,1,64,1,1,34,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1449132319,11936,2,3,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1449177191,12064,2,3,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1449222511,11712,2,3,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1449270063,12128,2,3,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1449314239,13984,4,6,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1449360783,13440,4,6,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1449412823,14368,4,6,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1449460767,35456,8,12,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1449530199,33024,8,12,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1449596535,34688,8,12,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1449664166,105057,16,24,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1449802678,100481,16,24,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1449937286,103873,16,24,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1450082223,11936,2,3,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1450131191,12000,2,3,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1450175543,11680,2,3,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1450219063,12160,2,3,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1450262335,13856,4,6,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1450308783,13440,4,6,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1450353207,13984,4,6,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1450408335,33824,8,12,1,16,16,1,17,0,0,,
"subband_quantization_lossless(float*, int2, int*, int2, int2, int)",1450476079,33888,8,12,1,16,16,1,17,0,0,,
